 n_el    name     Phi_in(deg)    Phi_out(deg)   W_in(MeV/u)    W_out(MeV/u)
    1    prmtr    0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
    2    drift    0.00000E+00    0.58879E+03    0.71100E+04    0.71100E+04
    3    drift    0.00000E+00    0.53332E+02    0.71100E+04    0.71100E+04
    4    quad     0.00000E+00    0.26666E+03    0.71100E+04    0.71100E+04
    5    drift    0.00000E+00    0.10666E+03    0.71100E+04    0.71100E+04
    6    quad     0.00000E+00    0.26666E+03    0.71100E+04    0.71100E+04
    7    drift    0.00000E+00    0.10666E+03    0.71100E+04    0.71100E+04
    8    quad     0.00000E+00    0.26666E+03    0.71100E+04    0.71100E+04
    9    drift    0.00000E+00    0.53332E+02    0.71100E+04    0.71100E+04
   10    drift    0.00000E+00    0.39146E+03    0.71100E+04    0.71100E+04
   11    slit     0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
   12    drift    0.00000E+00    0.37333E+03    0.71100E+04    0.71100E+04
   13    drift    0.00000E+00    0.37333E+03    0.71100E+04    0.71100E+04
   14    slit     0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
   15    drift    0.00000E+00    0.34133E+03    0.71100E+04    0.71100E+04
   16    slit     0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
   17    drift    0.00000E+00    0.31999E+03    0.71100E+04    0.71100E+04
   18    drift    0.00000E+00    0.16000E+04    0.71100E+04    0.71100E+04
   19    drift    0.00000E+00    0.26666E+04    0.71100E+04    0.71100E+04
   20    drift    0.00000E+00    0.38933E+02    0.71100E+04    0.71100E+04
   21    quad     0.00000E+00    0.31999E+03    0.71100E+04    0.71100E+04
   22    drift    0.00000E+00    0.77865E+02    0.71100E+04    0.71100E+04
   23    quad     0.00000E+00    0.31999E+03    0.71100E+04    0.71100E+04
   24    drift    0.00000E+00    0.38933E+02    0.71100E+04    0.71100E+04
   25    drift    0.00000E+00    0.45759E+04    0.71100E+04    0.71100E+04
   26    drift    0.00000E+00    0.95998E+02    0.71100E+04    0.71100E+04
   27    quad     0.00000E+00    0.31999E+03    0.71100E+04    0.71100E+04
   28    drift    0.00000E+00    0.19200E+03    0.71100E+04    0.71100E+04
   29    quad     0.00000E+00    0.31999E+03    0.71100E+04    0.71100E+04
   30    drift    0.00000E+00    0.95998E+02    0.71100E+04    0.71100E+04
   31    drift    0.00000E+00    0.37333E+03    0.71100E+04    0.71100E+04
   32    drift    0.00000E+00    0.13546E+04    0.71100E+04    0.71100E+04
   33    drift    0.00000E+00    0.10666E+04    0.71100E+04    0.71100E+04
   34    slit     0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
   35    drift    0.00000E+00    0.37333E+03    0.71100E+04    0.71100E+04
   36    drift    0.00000E+00    0.37333E+03    0.71100E+04    0.71100E+04
   37    slit     0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
   38    drift    0.00000E+00    0.53332E+03    0.71100E+04    0.71100E+04
   39    slit     0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
   40    drift    0.00000E+00    0.10666E+04    0.71100E+04    0.71100E+04
   41    drift    0.00000E+00    0.33493E+03    0.71100E+04    0.71100E+04
   42    quad     0.00000E+00    0.29866E+03    0.71100E+04    0.71100E+04
   43    drift    0.00000E+00    0.15573E+03    0.71100E+04    0.71100E+04
   44    quad     0.00000E+00    0.29866E+03    0.71100E+04    0.71100E+04
   45    drift    0.00000E+00    0.41080E+04    0.71100E+04    0.71100E+04
   46    quad     0.00000E+00    0.31999E+03    0.71100E+04    0.71100E+04
   47    drift    0.00000E+00    0.89332E+02    0.71100E+04    0.71100E+04
   48    quad     0.00000E+00    0.31999E+03    0.71100E+04    0.71100E+04
   49    drift    0.00000E+00    0.14235E+03    0.71100E+04    0.71100E+04
   50    quad     0.00000E+00    0.26666E+03    0.71100E+04    0.71100E+04
   51    drift    0.00000E+00    0.36042E+04    0.71100E+04    0.71100E+04
   52    slit     0.00000E+00    0.00000E+00    0.71100E+04    0.71100E+04
